ENROLLMENT_ID,PROBLEM,VIDEO,ACCESS1,WIKI,DISCUSSION,PAGE_CLOSE,NAVIGATE,LABLE
1,87,29,107,0,0,66,25,0
3,138,9,79,0,26,22,14,0
4,6,4,64,0,0,10,15,0
5,170,86,226,0,34,87,30,0
6,2,2,12,0,0,2,5,0
7,94,69,203,0,33,60,20,1
9,6,2,71,0,0,6,12,1
12,0,31,46,0,1,43,6,0
13,150,69,200,0,4,25,15,0
14,12,5,60,0,0,5,20,1
16,64,15,168,1,28,20,40,0
18,17,10,90,1,3,18,14,0
20,0,12,59,1,1,34,35,0
22,64,36,66,0,0,38,1,1
23,0,14,53,0,0,28,18,0
26,5,31,146,0,1,61,21,0
28,12,21,45,0,0,16,11,1
30,2,0,4,0,0,3,1,0
31,19,21,121,0,6,57,16,1
32,13,1,27,0,7,16,9,0
35,38,6,82,1,13,44,46,0
39,13,33,90,2,3,75,21,1
45,166,104,326,0,45,115,39,0
46,0,0,0,0,0,0,1,1
48,18,27,70,1,0,41,15,0
49,68,45,337,0,1324,171,160,0
50,48,0,49,0,0,22,7,1
51,6,229,520,0,175,237,71,0
53,34,67,168,3,51,114,45,0
54,0,0,0,0,0,0,1,1
55,20,29,93,5,23,62,48,0
58,141,34,239,2,40,85,48,0
60,40,0,67,3,12,4,26,0
65,2,20,32,1,0,26,9,1
67,8,20,98,2,22,58,37,1
68,19,1,73,1,3,9,16,0
69,4,7,44,0,0,8,4,0
70,18,3,63,1,16,7,20,0
71,59,37,203,0,18,100,32,0
73,29,0,61,0,0,39,17,1
74,3,31,147,10,25,90,41,0
75,72,33,160,1,4,72,69,0
76,26,6,63,0,0,13,7,0
78,17,27,92,5,3,71,44,0
80,8,2,22,0,0,1,5,0
81,40,29,109,0,4,74,21,0
82,18,27,68,5,33,53,25,0
83,2,5,24,0,0,8,15,0
86,39,8,111,1,34,11,27,0
87,30,2,99,5,76,3,42,0
88,33,19,134,5,34,66,34,0
90,30,34,138,0,6,80,27,0
92,0,0,0,0,0,0,1,1
93,0,2,18,0,0,4,8,1
94,8,7,52,2,7,42,29,0
95,23,1,37,1,2,1,18,0
96,34,28,80,0,1,38,10,1
97,10,4,12,1,0,1,9,1
98,7,13,74,2,13,39,46,0
101,62,3,94,0,34,5,22,1
102,0,0,0,0,0,0,1,1
103,52,10,233,0,3,12,17,0
104,30,55,129,5,4,91,58,0
106,0,3,16,0,0,5,2,1
107,31,0,67,0,23,5,19,1
109,0,6,14,0,0,10,5,1
111,0,4,12,1,0,4,28,1
112,58,10,248,2,25,17,50,0
113,26,38,90,3,16,63,14,0
114,0,0,1,0,0,1,5,1
119,61,50,146,5,9,108,54,0
120,58,54,1152,3,42,88,32,0
121,32,4,97,2,4,8,27,0
122,17,36,72,0,10,56,17,0
123,28,36,109,1,26,76,25,0
129,9,22,76,0,0,41,7,1
130,12,8,47,1,1,20,6,0
131,0,0,2,0,0,1,2,1
132,0,2,3,0,0,2,4,1
133,14,34,58,0,0,51,4,1
134,24,8,23,0,0,11,14,1
135,39,17,78,1,16,52,25,1
138,29,30,80,5,28,55,29,0
140,0,0,34,0,0,1,4,1
141,101,31,105,0,22,42,36,1
142,55,12,88,2,11,58,33,0
143,0,0,0,0,0,0,2,1
144,64,81,165,1,13,34,36,0
146,18,32,128,4,5,56,39,0
148,53,39,234,1,54,92,50,0
149,8,0,4,0,0,0,7,1
150,26,0,16,0,0,7,4,0
151,62,47,127,3,86,92,34,0
152,47,27,136,2,24,51,20,0
155,42,3,95,1,22,26,30,0
156,0,1,3,0,0,1,4,1
157,58,0,38,0,0,18,10,1
159,54,61,252,1,20,130,40,0
160,4,13,35,0,0,22,3,1
161,16,22,84,5,34,56,40,0
162,46,0,70,2,5,3,30,0
164,0,0,3,1,0,0,3,1
166,56,36,128,1,26,74,46,0
167,18,54,163,6,14,74,33,0
170,39,2,85,2,7,7,29,0
171,0,5,20,0,0,10,8,0
172,23,29,108,21,96,65,49,0
173,52,57,176,5,7,119,69,0
174,0,11,36,2,17,18,12,0
175,0,4,10,1,0,6,9,1
176,17,6,58,1,2,26,23,1
178,29,22,100,3,114,67,42,0
180,19,4,138,0,7,9,39,0
182,16,23,110,13,45,72,42,0
186,7,10,127,2,4,2,11,0
189,42,68,200,4,23,142,55,0
190,31,41,68,4,39,57,21,0
192,28,60,247,0,0,58,70,0
193,0,2,3,0,0,2,5,1
195,8,15,65,0,8,24,15,1
196,54,1,51,1,1,18,18,1
198,14,42,101,0,0,79,19,0
199,216,73,307,8,239,114,57,0
200,0,3,8,0,0,3,4,1
201,38,21,90,0,3,53,13,0
204,10,3,40,1,11,3,13,0
208,0,8,16,0,0,12,5,0
209,27,17,59,0,0,49,13,0
212,0,1,4,0,0,1,3,1
214,15,38,71,1,4,55,23,0
216,5,8,42,2,4,32,20,1
219,249,26,834,14,472,231,135,0
221,24,23,72,1,3,49,30,1
222,9,1,30,0,1,5,11,0
223,0,0,0,0,0,0,2,1
226,0,0,0,0,0,0,1,1
227,51,38,112,1,0,74,19,0
228,38,65,199,0,3,115,43,0
230,0,0,0,0,0,0,1,1
231,52,42,111,1,2,71,17,0
233,12,15,42,4,8,28,18,0
234,49,4,96,1,22,3,31,0
235,8,1,111,6,3,10,26,1
239,23,4,94,0,2,19,33,0
240,25,42,233,0,279,37,21,0
241,8,12,43,2,2,23,27,0
242,28,7,106,6,16,49,63,0
244,30,31,97,0,13,68,16,0
245,21,0,8,0,0,6,20,1
247,12,4,62,0,0,6,17,0
248,0,0,0,0,0,0,4,1
249,6,18,27,0,0,22,4,0
250,43,37,129,4,3,86,45,0
251,51,1,80,2,8,6,20,0
252,12,47,77,2,2,69,33,0
254,6,1,39,1,0,2,7,1
255,120,32,181,0,6,51,24,0
256,0,1,4,0,0,2,2,1
257,39,23,89,0,2,43,7,0
258,18,12,34,0,0,25,6,0
261,10,31,69,1,1,44,12,0
262,0,0,0,0,0,0,3,1
264,2,3,20,1,1,1,6,1
265,8,14,85,0,0,3,14,0
266,64,15,211,6,18,15,62,0
267,27,0,41,1,15,23,16,0
268,66,11,160,0,2,8,47,0
269,18,17,99,1,4,60,38,0
270,24,0,61,0,24,0,11,1
272,0,0,25,0,111,9,19,0
275,2,3,43,1,2,4,14,1
277,12,1,75,2,15,3,23,0
278,65,16,64,0,0,35,10,0
279,10,48,131,4,2,84,27,0
280,0,0,0,0,0,0,2,1
281,0,0,0,0,0,0,1,1
282,17,23,51,1,2,39,15,0
284,6,55,118,0,326,37,78,0
285,76,4,75,1,21,29,82,0
286,0,0,0,0,0,0,5,1
288,2,9,33,1,1,24,9,1
293,4,11,36,0,3,21,6,1
294,0,4,8,0,0,6,3,1
295,47,46,222,0,40,130,31,0
297,20,36,91,0,8,58,24,0
298,53,40,133,0,6,90,22,0
301,34,48,127,3,18,83,48,0
302,23,10,165,3,4,40,38,0
304,22,36,127,0,0,76,16,0
305,0,0,0,0,0,0,2,1
307,9,25,78,0,1,51,13,0
309,28,46,154,11,6,77,55,0
310,8,2,47,0,0,5,8,1
311,21,5,145,3,14,57,29,0
313,41,70,150,0,5,130,15,1
314,33,5,64,4,3,37,34,0
315,0,0,0,0,0,0,2,1
316,4,0,25,0,0,19,3,0
317,18,19,42,0,1,34,11,0
319,14,6,67,0,0,12,32,0
320,0,0,0,0,0,0,1,1
321,35,1,116,2,2,1,20,0
322,25,8,71,2,14,58,20,0
323,47,31,155,2,25,81,60,0
324,4,27,71,39,40,48,62,0
325,12,1,18,0,0,14,10,0
327,64,38,87,1,9,64,40,0
329,87,35,104,0,9,13,25,1
332,3,11,48,0,3,35,12,0
334,41,18,146,1,1,81,33,0
335,27,39,93,28,19,67,30,0
337,46,0,116,4,5,64,19,0
338,0,2,3,0,0,2,2,1
339,47,5,86,1,5,1,23,1
340,0,3,38,0,0,5,8,1
341,58,24,120,3,11,45,47,0
343,0,0,2,0,1,1,7,1
344,57,41,159,2,31,110,8,0
345,28,49,139,1,9,89,43,0
346,33,30,139,0,8,75,11,0
349,55,23,88,0,0,49,17,0
351,22,38,105,1,12,79,23,0
352,80,58,197,6,184,96,69,0
353,0,0,0,0,0,0,2,1
354,48,15,139,7,16,44,63,0
355,24,12,45,0,0,27,9,0
357,0,20,62,1,0,42,48,0
358,0,0,3,0,1,2,7,1
360,0,2,3,0,0,2,2,1
361,24,17,27,0,0,22,4,0
364,36,15,176,4,4,39,52,0
366,16,3,70,1,0,6,7,0
367,0,1,6,1,0,4,8,1
370,0,4,4,0,0,4,3,1
371,63,8,103,2,4,45,33,1
373,134,3,210,3,56,75,49,0
375,15,21,53,0,13,39,7,0
377,26,4,65,33,19,11,20,0
379,0,0,0,0,0,0,1,1
382,69,11,128,2,6,24,20,0
386,13,7,23,0,0,18,8,0
387,36,23,68,0,3,41,37,0
390,38,13,59,0,0,28,10,0
393,0,3,8,0,0,6,6,1
394,47,14,93,1,2,26,17,0
396,32,28,82,3,18,48,34,0
398,7,2,30,2,5,2,16,1
399,48,42,137,0,30,80,25,0
400,19,2,53,0,5,4,8,0
402,58,30,128,2,11,76,12,1
403,12,0,45,1,2,2,13,1
406,54,4,182,0,0,6,14,1
407,14,0,90,0,12,1,27,0
410,0,1,7,0,1,1,4,0
412,12,9,73,4,0,21,14,0
414,43,62,138,2,8,90,37,0
419,0,0,0,0,0,0,1,1
420,0,0,0,0,0,0,1,1
421,0,0,0,0,0,0,3,1
424,0,2,39,0,8,3,9,0
425,5,13,70,1,1,31,26,0
426,26,16,52,1,0,34,17,0
428,4,13,34,0,0,14,3,1
429,11,2,99,0,0,4,17,0
431,30,26,54,0,0,33,10,0
432,21,0,83,0,5,14,24,0
433,57,43,134,1,62,61,37,0
435,24,11,64,47,64,34,35,0
436,16,24,57,1,0,46,10,0
438,0,1,16,2,0,2,12,1
441,53,1,71,0,0,1,30,0
442,30,26,123,3,38,80,32,0
444,33,49,149,0,0,94,27,0
445,5,11,36,0,1,5,6,1
446,8,12,29,0,0,18,6,1
447,0,0,0,0,0,0,2,1
448,38,3,107,0,9,8,21,0
450,16,6,110,1,3,10,29,1
451,14,23,67,1,13,47,21,0
452,34,28,66,8,5,45,50,0
454,0,7,39,0,0,9,26,0
458,28,61,184,35,145,117,99,0
459,18,7,84,0,12,13,6,0
460,34,0,49,8,28,1,27,1
461,46,82,130,18,7,41,31,1
463,0,0,0,0,0,0,1,1
464,42,27,71,0,27,50,13,0
466,8,1,66,0,1,3,13,1
467,43,17,77,0,0,47,14,1
469,35,12,148,1,4,19,19,0
471,0,15,81,0,0,32,19,1
474,0,2,7,1,0,4,6,1
475,20,23,42,0,0,36,7,0
480,10,17,80,0,2,21,11,0
482,40,21,93,2,79,47,21,0
484,0,27,55,1,0,40,14,0
486,19,8,23,2,1,17,20,0
487,0,1,2,0,0,1,3,0
490,0,15,71,3,1,23,28,1
491,19,3,31,1,14,14,8,0
493,131,61,257,0,0,62,10,0
496,2,20,70,0,0,45,32,1
497,0,0,0,0,0,0,1,1
500,0,0,0,0,0,0,1,0
501,0,2,7,0,0,2,4,0
505,26,9,77,6,62,3,44,0
507,0,0,0,1,1,0,5,0
509,31,18,50,1,1,33,10,0
511,8,2,24,0,0,3,5,0
512,31,40,121,3,5,86,20,0
514,17,1,99,1,5,7,30,1
515,94,39,304,3,20,154,76,0
516,52,27,178,0,129,71,26,0
517,80,10,183,2,0,31,39,0
518,0,1,37,0,0,2,54,1
520,0,0,6,0,0,2,2,1
522,82,54,184,11,21,112,90,0
523,78,29,127,0,0,73,28,0
525,0,0,6,0,0,2,4,1
526,70,47,162,0,9,95,34,0
527,0,0,0,0,0,0,1,1
530,5,43,78,12,10,64,53,0
532,52,0,132,0,0,0,24,0
533,20,12,110,2,35,4,29,0
534,3,4,30,0,0,4,10,0
535,37,24,43,0,1,10,5,1
536,5,9,48,0,0,26,36,1
541,51,38,122,1,8,73,42,0
543,6,9,28,1,0,15,10,1
545,12,7,13,0,0,11,6,1
546,36,33,87,1,4,54,14,0
547,20,3,47,1,2,3,7,0
548,0,0,9,1,0,2,13,1
550,2,1,23,1,0,3,12,1
552,48,6,121,4,9,12,49,0
553,0,3,11,1,0,6,6,0
555,0,0,0,0,0,0,3,1
556,3,39,67,1,1,58,11,1
558,14,0,61,1,6,1,13,0
561,46,22,95,0,4,24,15,0
562,0,7,18,0,0,7,8,1
566,20,13,98,2,13,62,23,1
572,4,6,27,1,3,15,8,1
576,25,26,75,1,18,54,23,0
579,0,15,35,2,2,22,11,1
580,36,13,142,0,54,20,29,0
581,20,3,65,0,0,6,13,0
582,38,38,177,1,1,96,48,0
583,0,0,2,0,0,1,2,1
584,0,23,31,0,0,28,8,1
587,19,4,124,3,8,8,44,0
588,52,9,147,1,6,12,25,0
589,0,17,60,0,1,23,5,1
590,0,3,8,0,0,4,4,1
591,68,0,117,16,203,52,81,0
